tx_bytes,rx_bytes,tx_packets,rx_packets,latencia,congestion
207078253,5530370065,2691012,4513137,4,0
207094305,5530379476,2691058,4513181,10,0
207097347,5530380610,2691070,4513192,11,0
207102896,5530383505,2691085,4513206,7,0
207115639,5530389982,2691114,4513235,11,0
207118311,5530391148,2691128,4513248,17,0
207134001,5530400362,2691170,4513288,25,0
207139214,5530401512,2691183,4513299,10,0
207142390,5530402838,2691198,4513312,8,0
207158661,5530412040,2691240,4513351,7,0
207161305,5530413190,2691251,4513362,10,0
207176986,5530421568,2691281,4513394,7,0
207180837,5530423066,2691299,4513411,4,0
207183813,5530424382,2691314,4513425,7,0
207196561,5530432080,2691342,4513452,32,0
207199901,5530433678,2691359,4513468,14,0
207204653,5530434858,2691371,4513481,10,0
207217043,5530441860,2691397,4513505,5,0
207221813,5530444528,2691414,4513524,13,0
207224317,5530445793,2691426,4513537,14,0
207227878,5530452012,2691444,4513554,22,0
